,ID,centroid_x,centroid_y,xmin,ymin,xmax,ymax,area,bbox_area,convex_area,filled_area,eccentricity,equivalent_diameter,orientation,perimeter,solidity,D__weighted_centroid_x,D__weighted_centroid_y,D__Sum,D__Mean,D__Max,D__Area,D__Variance,D__Entropy,D__Skew,D__Centroid_Shift,D__AreaPerc,H__weighted_centroid_x,H__weighted_centroid_y,H__Sum,H__Mean,H__Max,H__Area,H__Variance,H__Entropy,H__Skew,H__Centroid_Shift,H__AreaPerc,DPH__weighted_centroid_x,DPH__weighted_centroid_y,DPH__Sum,DPH__Mean,DPH__Max,DPH__Area,DPH__Variance,DPH__Entropy,DPH__Skew,DPH__Centroid_Shift,DPH__AreaPerc,score,class
22,23,70,147,58,130,82,166,667,864,689,667,0.7741059291022856,29.14190756176324,-1.5146814673444668,98.42640687119285,0.9680696661828737,70.52985335690717,148.19798235744608,105767,158.5712143928036,255,667,0.802427009885528,6.341312579880428,0.02321731869944947,0.8639585760035342,1.0,70.52985335690717,148.19798235744608,105767,158.5712143928036,255,667,0.802427009885528,6.341312579880428,0.02321731869944947,0.8639585760035342,1.0,70.52985335690717,148.19798235744608,105767,158.5712143928036,255,667,0.802427009885528,6.341312579880428,0.02321731869944947,0.8639585760035342,1.0,0.9943760633468628,1
23,24,233,238,216,223,252,257,940,1224,956,940,0.6969002576764812,34.595450164018,-0.6865582361862959,113.7401153701776,0.9832635983263598,231.99197567648093,239.7106977437092,147676,157.10212765957448,255,940,0.7213636464433146,6.753713262781237,-0.08521579790176147,1.4813111848633258,1.0,231.99197567648093,239.7106977437092,147676,157.10212765957448,255,940,0.7213636464433146,6.753713262781237,-0.08521579790176147,1.4813111848633258,1.0,231.99197567648093,239.7106977437092,147676,157.10212765957448,255,940,0.7213636464433146,6.753713262781237,-0.08521579790176147,1.4813111848633258,1.0,0.9941555261611938,1
24,25,188,80,173,63,205,100,871,1184,889,871,0.5343537787560557,33.30152614317138,-1.178653444999322,109.39696961966999,0.9797525309336333,189.4764604908844,81.02192465079197,122921,141.12629161882893,255,871,0.7332921244657851,6.699388439306411,-0.10391736047682414,0.8490608878820884,1.0,189.4764604908844,81.02192465079197,122921,141.12629161882893,255,871,0.7332921244657851,6.699388439306411,-0.10391736047682414,0.8490608878820884,1.0,189.4764604908844,81.02192465079197,122921,141.12629161882893,255,871,0.7332921244657851,6.699388439306411,-0.10391736047682414,0.8490608878820884,1.0,0.994114100933075,1
25,26,273,275,263,266,284,287,336,441,350,336,0.5047364946925728,20.683531783305643,0.7587079792210529,67.698484809835,0.96,273.0131435427574,275.2736692844677,36672,109.14285714285714,226,336,0.6943123944554103,5.754809917635022,0.012901412848438149,0.4114738631679955,1.0,273.0131435427574,275.2736692844677,36672,109.14285714285714,226,336,0.6943123944554103,5.754809917635022,0.012901412848438149,0.4114738631679955,1.0,273.0131435427574,275.2736692844677,36672,109.14285714285714,226,336,0.6943123944554103,5.754809917635022,0.012901412848438149,0.4114738631679955,1.0,0.99379962682724,1
26,27,372,76,361,58,386,96,764,950,777,764,0.7647002492451692,31.18902069924069,1.4371266836446954,103.84062043356595,0.9832689832689833,372.71981402404765,76.31385548938083,71192,93.18324607329843,156,764,0.6002338140399829,6.588593230562289,-0.497794112846924,0.05596460157415675,1.0,372.71981402404765,76.31385548938083,71192,93.18324607329843,156,764,0.6002338140399829,6.588593230562289,-0.497794112846924,0.05596460157415675,1.0,372.71981402404765,76.31385548938083,71192,93.18324607329843,156,764,0.6002338140399829,6.588593230562289,-0.497794112846924,0.05596460157415675,1.0,0.9926682114601135,1
27,28,420,365,414,355,429,376,255,315,259,255,0.7131191648735592,18.01877032173579,-1.5620151932734851,58.04163056034262,0.9845559845559846,420.0053469127944,364.90130490133674,31420,123.2156862745098,227,255,0.6810106091982577,5.436995618183735,-0.09943597427950894,0.6725226685111592,1.0,420.0053469127944,364.90130490133674,31420,123.2156862745098,227,255,0.6810106091982577,5.436995618183735,-0.09943597427950894,0.6725226685111592,1.0,420.0053469127944,364.90130490133674,31420,123.2156862745098,227,255,0.6810106091982577,5.436995618183735,-0.09943597427950894,0.6725226685111592,1.0,0.9923564195632935,1
28,29,225,46,210,27,242,65,994,1216,1017,994,0.549475883159308,35.575273821388244,1.4568511619236006,117.84062043356595,0.9773844641101278,225.956916731691,48.04615489416515,161478,162.4527162977867,255,994,0.6703065126151471,6.79727469946072,-0.18968110225481621,1.3899724202499972,1.0,225.956916731691,48.04615489416515,161478,162.4527162977867,255,994,0.6703065126151471,6.79727469946072,-0.18968110225481621,1.3899724202499972,1.0,225.956916731691,48.04615489416515,161478,162.4527162977867,255,994,0.6703065126151471,6.79727469946072,-0.18968110225481621,1.3899724202499972,1.0,0.9918442368507385,1
29,30,477,29,460,14,495,44,658,1050,691,658,0.8634803012845363,28.944630252185586,-0.6382095125806785,104.32590180780451,0.9522431259044862,477.32041448103877,29.766695330638917,116290,176.73252279635258,255,658,0.9218206332877067,6.398004921633347,0.17662809676327382,0.5248633406370252,1.0,477.32041448103877,29.766695330638917,116290,176.73252279635258,255,658,0.9218206332877067,6.398004921633347,0.17662809676327382,0.5248633406370252,1.0,477.32041448103877,29.766695330638917,116290,176.73252279635258,255,658,0.9218206332877067,6.398004921633347,0.17662809676327382,0.5248633406370252,1.0,0.9909977912902832,1
30,31,369,420,357,402,381,438,644,864,660,644,0.8070514089459165,28.635053113438516,-1.2088170841882624,97.84062043356596,0.9757575757575757,368.85826030905383,420.6293095939095,57401,89.13198757763975,142,644,0.6701410266483593,6.426265806658919,-0.3875619892331555,0.6724303403820361,1.0,368.85826030905383,420.6293095939095,57401,89.13198757763975,142,644,0.6701410266483593,6.426265806658919,-0.3875619892331555,0.6724303403820361,1.0,368.85826030905383,420.6293095939095,57401,89.13198757763975,142,644,0.6701410266483593,6.426265806658919,-0.3875619892331555,0.6724303403820361,1.0,0.9905025959014893,1
31,32,427,150,411,132,444,170,907,1254,936,907,0.7011172760251455,33.982764264767994,1.0837815671438809,116.5685424949238,0.969017094017094,427.03808961146814,150.29376487440015,179419,197.81587651598676,255,907,0.7498972828979643,6.730241312484603,-0.2813062292730531,0.72065671627554,1.0,427.03808961146814,150.29376487440015,179419,197.81587651598676,255,907,0.7498972828979643,6.730241312484603,-0.2813062292730531,0.72065671627554,1.0,427.03808961146814,150.29376487440015,179419,197.81587651598676,255,907,0.7498972828979643,6.730241312484603,-0.2813062292730531,0.72065671627554,1.0,0.9903192520141602,1
